Algorithm,Size,Time(seconds)
radix,2100,0.000033
bucket,2100,0.000063
pigeonhole,2100,0.000027
bitonic,2100,0.000383
stooge,2100,0.931838
oddeven,2100,0.001866
strand,2100,0.000444
intro,2100,0.000082
bubble,2200,0.007063
selection,2200,0.004492
insertion,2200,0.000459
shell,2200,0.000127
heap,2200,0.000122
merge,2200,0.000152
quick,2200,0.000088
comb,2200,0.000122
cocktail,2200,0.007067
cycle,2200,0.003907
gnome,2200,0.009184
tim,2200,0.000081
counting,2200,0.000012
radix,2200,0.000039
bucket,2200,0.000075
pigeonhole,2200,0.000029
bitonic,2200,0.000302
stooge,2200,0.924336
oddeven,2200,0.002053
strand,2200,0.000440
intro,2200,0.000081
bubble,2300,0.010069
selection,2300,0.005563
insertion,2300,0.000540
shell,2300,0.000148
heap,2300,0.000138
merge,2300,0.000168
quick,2300,0.000097
comb,2300,0.000124
cocktail,2300,0.009622
cycle,2300,0.003914
gnome,2300,0.007712
tim,2300,0.000079
counting,2300,0.000012
radix,2300,0.000042
bucket,2300,0.000091
pigeonhole,2300,0.000032
bitonic,2300,0.000344
stooge,2300,0.933713
oddeven,2300,0.002241
strand,2300,0.000544
intro,2300,0.000090
bubble,2400,0.009771
selection,2400,0.005575
insertion,2400,0.000570
shell,2400,0.000155
heap,2400,0.000141
merge,2400,0.000163
quick,2400,0.000103
comb,2400,0.000142
cocktail,2400,0.011003
cycle,2400,0.004438
gnome,2400,0.009807
tim,2400,0.000099
counting,2400,0.000014
radix,2400,0.000048
bucket,2400,0.000099
pigeonhole,2400,0.000034
bitonic,2400,0.000434
stooge,2400,2.789320
oddeven,2400,0.002545
strand,2400,0.000564
intro,2400,0.000093
bubble,2500,0.010189
selection,2500,0.006056
insertion,2500,0.000562
shell,2500,0.000143
heap,2500,0.000148
merge,2500,0.000167
quick,2500,0.000098
comb,2500,0.000137
cocktail,2500,0.011003
cycle,2500,0.004275
gnome,2500,0.009263
tim,2500,0.000088
counting,2500,0.000014
radix,2500,0.000039
bucket,2500,0.000092
pigeonhole,2500,0.000040
bitonic,2500,0.000412
stooge,2500,2.788543
oddeven,2500,0.002650
